Vila,Area,Order,Seasonal Order,AIC,BIC,RMSE,SMAPE,Train (bln),Test (bln),Rank_BIC
Castello,Canggu,"(2, 1, 0)","(2, 1, 1, 7)",113.98,116.89,24.38,39.16,33,3,20
Castello,Canggu,"(1, 1, 1)","(1, 1, 2, 7)",115.45,118.36,22.36,23.0,33,3,21
Castello,Canggu,"(0, 1, 1)","(2, 1, 2, 7)",115.62,118.53,26.7,59.32,33,3,22
Castello,Canggu,"(0, 1, 1)","(0, 1, 2, 7)",118.32,120.26,22.81,27.01,33,3,23
Castello,Canggu,"(1, 1, 1)","(2, 1, 2, 7)",117.07,120.46,30.34,84.46,33,3,24
Castello,Canggu,"(1, 1, 1)","(0, 1, 2, 7)",119.2,121.62,21.04,22.9,33,3,25
Castello,Canggu,"(2, 1, 0)","(1, 1, 2, 7)",118.55,121.94,25.13,46.72,33,3,26
Castello,Canggu,"(2, 1, 1)","(0, 1, 2, 7)",121.09,124.0,18.41,22.18,33,3,27
Castello,Canggu,"(1, 1, 2)","(2, 1, 0, 7)",121.92,125.31,19.42,24.26,33,3,28
Castello,Canggu,"(0, 1, 0)","(1, 1, 2, 7)",123.58,125.84,9.87,12.41,33,3,29
Castello,Canggu,"(1, 1, 0)","(1, 1, 2, 7)",123.68,126.51,8.41,9.65,33,3,30
Castello,Canggu,"(1, 1, 1)","(2, 1, 0, 7)",124.74,127.57,18.89,30.7,33,3,31
Castello,Canggu,"(2, 1, 0)","(0, 1, 2, 7)",125.02,127.84,20.65,21.76,33,3,32
Castello,Canggu,"(1, 1, 2)","(2, 1, 1, 7)",123.97,127.92,19.02,26.14,33,3,33
Castello,Canggu,"(0, 1, 0)","(2, 1, 2, 7)",125.58,128.41,9.86,12.39,33,3,34
Castello,Canggu,"(1, 1, 0)","(2, 1, 0, 7)",126.44,128.7,18.0,40.37,33,3,35
Castello,Canggu,"(1, 1, 1)","(2, 1, 1, 7)",125.65,129.03,26.01,54.5,33,3,36
Castello,Canggu,"(1, 1, 0)","(2, 1, 2, 7)",125.67,129.06,8.42,9.62,33,3,37
Castello,Canggu,"(0, 1, 0)","(0, 1, 2, 7)",127.84,129.54,22.16,25.84,33,3,38
Castello,Canggu,"(1, 1, 0)","(0, 1, 2, 7)",128.14,130.4,16.21,15.09,33,3,39
Castello,Canggu,"(1, 1, 0)","(2, 1, 1, 7)",127.81,130.64,21.54,47.24,33,3,40
Castello,Canggu,"(0, 1, 2)","(2, 1, 0, 7)",128.34,131.54,21.02,19.72,33,3,41
Castello,Canggu,"(0, 1, 2)","(2, 1, 1, 7)",129.27,133.1,21.35,22.43,33,3,42
Castello,Canggu,"(0, 1, 1)","(2, 1, 0, 7)",131.28,133.84,19.85,21.0,33,3,43
Castello,Canggu,"(0, 1, 1)","(2, 1, 1, 7)",133.16,136.35,23.7,38.85,33,3,44
Castello,Canggu,"(0, 1, 0)","(2, 1, 0, 7)",134.71,136.63,17.98,34.98,33,3,45
Castello,Canggu,"(0, 1, 0)","(2, 1, 1, 7)",136.48,139.04,19.52,36.53,33,3,46
Castello,Canggu,"(2, 1, 0)","(1, 1, 0, 7)",183.6,187.38,20.29,31.67,33,3,47
Castello,Canggu,"(2, 1, 1)","(1, 1, 0, 7)",186.59,191.31,20.85,54.35,33,3,48
Castello,Canggu,"(2, 1, 2)","(1, 1, 0, 7)",186.74,192.41,14.21,32.9,33,3,49
Castello,Canggu,"(1, 1, 0)","(1, 1, 0, 7)",192.84,195.83,16.61,28.22,33,3,50
Castello,Canggu,"(1, 1, 1)","(1, 1, 0, 7)",193.05,197.03,18.84,23.06,33,3,51
Castello,Canggu,"(1, 1, 2)","(1, 1, 0, 7)",194.23,199.21,19.46,39.04,33,3,52
Castello,Canggu,"(0, 1, 0)","(1, 1, 0, 7)",200.68,202.77,17.04,29.87,33,3,53
Castello,Canggu,"(0, 1, 1)","(1, 1, 0, 7)",200.28,203.41,17.43,25.34,33,3,54
Castello,Canggu,"(0, 1, 2)","(1, 1, 0, 7)",201.03,205.21,19.29,27.11,33,3,55
Castello,Canggu,"(0, 1, 2)","(0, 1, 0, 7)",253.69,257.35,37.02,47.95,33,3,56
Castello,Canggu,"(1, 1, 2)","(0, 1, 0, 7)",252.48,257.36,32.3,44.09,33,3,57
Castello,Canggu,"(2, 1, 2)","(0, 1, 0, 7)",252.74,258.83,30.61,42.37,33,3,58
Castello,Canggu,"(0, 1, 1)","(0, 1, 0, 7)",266.86,269.37,37.65,48.39,33,3,59
Castello,Canggu,"(1, 1, 1)","(0, 1, 0, 7)",268.52,272.3,36.99,47.93,33,3,60
Castello,Canggu,"(2, 1, 0)","(0, 1, 0, 7)",268.53,272.31,36.06,47.25,33,3,61
Castello,Canggu,"(2, 1, 1)","(0, 1, 0, 7)",269.36,274.39,34.33,45.89,33,3,62
Castello,Canggu,"(1, 1, 0)","(0, 1, 0, 7)",275.7,278.29,35.3,46.67,33,3,63
Castello,Canggu,"(0, 1, 0)","(0, 1, 0, 7)",278.58,279.87,42.34,51.28,33,3,64
Castello,Canggu,"(1, 1, 1)","(0, 1, 1, 7)",540.71,544.49,36.62,47.66,33,3,65
Castello,Canggu,"(1, 1, 2)","(0, 1, 1, 7)",594.54,599.0,53.89,104.61,33,3,66
Castello,Canggu,"(0, 1, 0)","(0, 1, 1, 7)",636.7,638.69,42.34,51.28,33,3,67
Castello,Canggu,"(2, 1, 1)","(0, 1, 1, 7)",659.82,664.54,42.34,51.28,33,3,68
Castello,Canggu,"(0, 1, 2)","(0, 1, 1, 7)",716.82,720.39,38.3,48.83,33,3,69
Castello,Canggu,"(1, 1, 1)","(1, 1, 1, 7)",721.79,726.51,25.71,80.7,33,3,70
Castello,Canggu,"(0, 1, 1)","(0, 1, 1, 7)",725.99,728.82,37.65,48.39,33,3,71
Castello,Canggu,"(1, 1, 0)","(0, 1, 1, 7)",757.95,760.94,35.3,46.67,33,3,72
Castello,Canggu,"(2, 1, 0)","(0, 1, 1, 7)",776.63,780.61,36.06,47.25,33,3,73
Castello,Canggu,"(1, 1, 2)","(1, 1, 1, 7)",801.74,807.08,53.89,104.61,33,3,74
Castello,Canggu,"(2, 1, 1)","(1, 1, 1, 7)",846.54,852.21,63.08,200.0,33,3,75
Castello,Canggu,"(0, 1, 0)","(1, 1, 1, 7)",884.8,887.79,29.06,84.89,33,3,76
Castello,Canggu,"(0, 1, 2)","(1, 1, 1, 7)",887.87,892.32,26.27,82.52,33,3,77
Castello,Canggu,"(0, 1, 1)","(1, 1, 1, 7)",906.45,910.23,25.93,81.51,33,3,78
Castello,Canggu,"(2, 1, 2)","(1, 1, 1, 7)",917.29,923.53,53.89,104.61,33,3,79
Castello,Canggu,"(2, 1, 0)","(1, 1, 1, 7)",933.22,937.95,25.66,80.29,33,3,80
Castello,Canggu,"(1, 1, 0)","(1, 1, 1, 7)",947.79,951.77,25.92,80.0,33,3,81
Eindra,Seminyak,"(0, 0, 2)","(0, 1, 2, 6)",127.24,130.78,6.01,6.94,33,3,1
Eindra,Seminyak,"(0, 0, 2)","(2, 1, 2, 6)",127.36,132.32,9.85,10.19,33,3,2
Eindra,Seminyak,"(1, 0, 2)","(0, 1, 2, 6)",128.66,132.91,1.49,1.53,33,3,3
Eindra,Seminyak,"(0, 0, 2)","(1, 1, 2, 6)",129.16,133.41,15.98,14.92,33,3,4
Eindra,Seminyak,"(1, 0, 2)","(2, 1, 2, 6)",127.83,133.49,11.39,10.53,33,3,5
Eindra,Seminyak,"(0, 0, 1)","(0, 1, 2, 6)",132.17,135.26,4.46,5.08,33,3,6
Eindra,Seminyak,"(1, 0, 2)","(1, 1, 2, 6)",130.53,135.49,11.46,10.67,33,3,7
Eindra,Seminyak,"(2, 0, 2)","(0, 1, 2, 6)",130.6,135.56,1.61,1.73,33,3,8
Eindra,Seminyak,"(1, 0, 1)","(0, 1, 2, 6)",133.75,137.61,4.61,5.24,33,3,9
Eindra,Seminyak,"(0, 0, 1)","(1, 1, 2, 6)",133.82,137.69,16.11,15.23,33,3,10
Eindra,Seminyak,"(2, 0, 2)","(1, 1, 2, 6)",132.34,138.0,13.75,12.46,33,3,11
Eindra,Seminyak,"(2, 0, 2)","(2, 1, 2, 6)",131.83,138.2,8.56,9.51,33,3,12
Eindra,Seminyak,"(2, 0, 0)","(2, 1, 0, 6)",135.45,139.32,10.55,9.04,33,3,13
Eindra,Seminyak,"(1, 0, 1)","(1, 1, 2, 6)",135.24,139.87,15.31,15.21,33,3,14
Eindra,Seminyak,"(2, 0, 1)","(0, 1, 2, 6)",135.74,140.37,1.22,1.17,33,3,15
Eindra,Seminyak,"(2, 0, 2)","(2, 1, 0, 6)",135.44,140.85,10.48,9.97,33,3,16
Eindra,Seminyak,"(0, 0, 1)","(2, 1, 2, 6)",136.51,141.14,12.03,12.12,33,3,17
Eindra,Seminyak,"(2, 0, 0)","(2, 1, 2, 6)",136.18,141.59,15.6,15.64,33,3,18
Eindra,Seminyak,"(2, 0, 1)","(2, 1, 0, 6)",137.22,141.85,15.52,16.74,33,3,19
Eindra,Seminyak,"(0, 0, 0)","(0, 1, 2, 6)",139.42,141.92,6.84,7.97,33,3,20
Eindra,Seminyak,"(2, 0, 0)","(2, 1, 1, 6)",137.43,142.07,12.65,11.54,33,3,21
Eindra,Seminyak,"(1, 0, 1)","(2, 1, 2, 6)",137.22,142.63,10.89,10.93,33,3,22
Eindra,Seminyak,"(2, 0, 1)","(1, 1, 2, 6)",137.76,143.16,16.96,16.38,33,3,23
Eindra,Seminyak,"(2, 0, 2)","(2, 1, 1, 6)",137.09,143.27,21.9,21.18,33,3,24
Eindra,Seminyak,"(1, 0, 0)","(0, 1, 2, 6)",140.35,143.68,5.07,5.95,33,3,25
Eindra,Seminyak,"(2, 0, 1)","(2, 1, 1, 6)",138.45,143.86,18.76,19.12,33,3,26
Eindra,Seminyak,"(1, 0, 0)","(2, 1, 0, 6)",141.25,144.58,9.6,8.41,33,3,27
Eindra,Seminyak,"(0, 0, 0)","(1, 1, 2, 6)",141.41,144.74,12.74,13.5,33,3,28
Eindra,Seminyak,"(1, 0, 0)","(1, 1, 2, 6)",141.31,145.48,10.92,11.5,33,3,29
Eindra,Seminyak,"(2, 0, 1)","(2, 1, 2, 6)",139.76,145.94,10.0,11.1,33,3,30
Eindra,Seminyak,"(2, 0, 0)","(0, 1, 2, 6)",142.3,146.47,5.14,6.03,33,3,31
Eindra,Seminyak,"(0, 0, 0)","(2, 1, 2, 6)",142.57,146.73,12.76,13.51,33,3,32
Eindra,Seminyak,"(1, 0, 0)","(2, 1, 1, 6)",142.74,146.91,7.6,7.53,33,3,33
Eindra,Seminyak,"(1, 0, 1)","(2, 1, 0, 6)",143.07,147.24,9.67,8.35,33,3,34
Eindra,Seminyak,"(1, 0, 0)","(2, 1, 2, 6)",143.31,148.31,10.92,11.5,33,3,35
Eindra,Seminyak,"(2, 0, 0)","(1, 1, 2, 6)",143.31,148.31,14.88,14.04,33,3,36
Eindra,Seminyak,"(1, 0, 1)","(2, 1, 1, 6)",144.52,149.51,8.73,8.1,33,3,37
Eindra,Seminyak,"(0, 0, 0)","(2, 1, 0, 6)",147.1,149.77,10.69,9.91,33,3,38
Eindra,Seminyak,"(1, 0, 2)","(2, 1, 0, 6)",145.07,150.07,10.02,8.78,33,3,39
Eindra,Seminyak,"(0, 0, 1)","(2, 1, 0, 6)",148.28,151.84,10.7,8.9,33,3,40
Eindra,Seminyak,"(0, 0, 0)","(2, 1, 1, 6)",148.77,152.33,10.18,9.6,33,3,41
Eindra,Seminyak,"(1, 0, 2)","(2, 1, 1, 6)",146.67,152.51,9.04,8.37,33,3,42
Eindra,Seminyak,"(0, 0, 1)","(2, 1, 1, 6)",149.19,153.64,8.48,9.36,33,3,43
Eindra,Seminyak,"(0, 0, 2)","(2, 1, 0, 6)",150.19,154.64,11.78,10.22,33,3,44
Eindra,Seminyak,"(0, 0, 2)","(2, 1, 1, 6)",151.71,157.05,9.06,9.82,33,3,45
Eindra,Seminyak,"(0, 0, 2)","(0, 1, 1, 6)",170.81,174.99,11.64,11.38,33,3,46
Eindra,Seminyak,"(1, 0, 2)","(0, 1, 1, 6)",170.42,175.64,10.75,9.84,33,3,47
Eindra,Seminyak,"(2, 0, 2)","(0, 1, 1, 6)",170.17,176.44,9.62,7.99,33,3,48
Eindra,Seminyak,"(0, 0, 2)","(1, 1, 1, 6)",171.4,176.62,8.94,9.07,33,3,49
Eindra,Seminyak,"(0, 0, 1)","(0, 1, 1, 6)",175.67,178.94,11.19,10.97,33,3,50
Eindra,Seminyak,"(1, 0, 2)","(1, 1, 1, 6)",173.34,179.61,13.91,11.01,33,3,51
Eindra,Seminyak,"(1, 0, 1)","(0, 1, 1, 6)",175.61,179.97,10.79,9.83,33,3,52
Eindra,Seminyak,"(2, 0, 2)","(1, 1, 1, 6)",175.1,182.41,14.93,12.9,33,3,53
Eindra,Seminyak,"(2, 0, 0)","(1, 1, 0, 6)",178.38,182.75,8.66,9.5,33,3,54
Eindra,Seminyak,"(0, 0, 1)","(1, 1, 1, 6)",178.44,182.81,11.04,10.4,33,3,55
Eindra,Seminyak,"(2, 0, 1)","(0, 1, 1, 6)",178.3,183.76,9.76,8.45,33,3,56
Eindra,Seminyak,"(0, 0, 0)","(0, 1, 1, 6)",183.17,185.45,8.03,9.15,33,3,57
Eindra,Seminyak,"(2, 0, 0)","(1, 1, 1, 6)",180.16,185.62,10.76,10.13,33,3,58
Eindra,Seminyak,"(2, 0, 1)","(1, 1, 0, 6)",180.23,185.69,13.52,14.99,33,3,59
Eindra,Seminyak,"(1, 0, 1)","(1, 1, 1, 6)",180.33,185.78,14.44,11.7,33,3,60
Eindra,Seminyak,"(2, 0, 2)","(1, 1, 0, 6)",180.06,186.6,10.24,10.31,33,3,61
Eindra,Seminyak,"(0, 0, 0)","(1, 1, 1, 6)",183.42,186.82,10.75,10.3,33,3,62
Eindra,Seminyak,"(1, 0, 0)","(1, 1, 0, 6)",183.83,187.23,7.34,8.78,33,3,63
Eindra,Seminyak,"(2, 0, 0)","(0, 1, 1, 6)",183.63,188.17,10.71,9.57,33,3,64
Eindra,Seminyak,"(1, 0, 0)","(0, 1, 1, 6)",185.13,188.53,8.42,9.82,33,3,65
Eindra,Seminyak,"(2, 0, 1)","(1, 1, 1, 6)",182.06,188.6,13.9,11.09,33,3,66
Eindra,Seminyak,"(1, 0, 0)","(1, 1, 1, 6)",185.38,189.92,10.79,10.37,33,3,67
Eindra,Seminyak,"(1, 0, 1)","(1, 1, 0, 6)",185.63,190.17,7.37,8.82,33,3,68
Eindra,Seminyak,"(0, 0, 0)","(1, 1, 0, 6)",188.71,191.07,7.51,8.97,33,3,69
Eindra,Seminyak,"(1, 0, 2)","(1, 1, 0, 6)",186.66,192.34,8.25,8.26,33,3,70
Eindra,Seminyak,"(0, 0, 1)","(1, 1, 0, 6)",190.63,194.16,7.41,8.82,33,3,71
Eindra,Seminyak,"(0, 0, 2)","(1, 1, 0, 6)",192.53,197.25,7.28,8.72,33,3,72
Eindra,Seminyak,"(0, 0, 2)","(0, 1, 0, 6)",224.92,228.8,12.84,14.68,33,3,73
Eindra,Seminyak,"(1, 0, 2)","(0, 1, 0, 6)",224.83,230.01,10.46,12.55,33,3,74
Eindra,Seminyak,"(2, 0, 2)","(0, 1, 0, 6)",226.12,232.6,10.21,11.69,33,3,75
Eindra,Seminyak,"(0, 0, 1)","(0, 1, 0, 6)",233.8,236.46,11.07,11.61,33,3,76
Eindra,Seminyak,"(2, 0, 0)","(0, 1, 0, 6)",234.69,238.69,11.92,13.22,33,3,77
Eindra,Seminyak,"(1, 0, 1)","(0, 1, 0, 6)",234.87,238.87,12.16,13.28,33,3,78
Eindra,Seminyak,"(2, 0, 1)","(0, 1, 0, 6)",236.16,241.49,11.7,13.42,33,3,79
Eindra,Seminyak,"(1, 0, 0)","(0, 1, 0, 6)",248.6,251.34,13.9,14.68,33,3,80
Eindra,Seminyak,"(0, 0, 0)","(0, 1, 0, 6)",251.51,252.88,8.06,8.86,33,3,81
Elina,Canggu,"(2, 1, 1)","(2, 1, 0, 4)",199.09,205.36,54.19,95.12,33,3,1
Elina,Canggu,"(2, 1, 2)","(2, 1, 0, 4)",199.99,207.3,53.97,91.91,33,3,2
Elina,Canggu,"(2, 1, 1)","(2, 1, 1, 4)",200.97,208.28,57.25,134.25,33,3,3
Elina,Canggu,"(2, 1, 0)","(2, 1, 0, 4)",204.92,210.14,53.74,88.51,33,3,4
