,,Bulan,Aktual y_i (%),Prediksi ŷ_i (%),Error (y_i − ŷ_i),Error²,|Error/y_i|×100%
Eindra — Train,11,Dec 2023,67.74,86.67,-18.9258,358.1862,27.94
Eindra — Train,12,Jan 2024,64.52,77.42,-12.9034,166.4988,20.0
Eindra — Train,13,Feb 2024,65.52,80.65,-15.1326,228.9946,23.1
Eindra — Train,14,Mar 2024,70.97,70.01,0.9615,0.9245,1.35
Eindra — Train,15,Apr 2024,66.67,67.75,-1.0845,1.1761,1.63
Eindra — Train,16,May 2024,61.29,49.34,11.9517,142.843,19.5
Eindra — Train,17,Jun 2024,76.67,75.75,0.9158,0.8386,1.19
Eindra — Train,18,Jul 2024,80.65,71.02,9.6296,92.7286,11.94
Eindra — Train,19,Aug 2024,87.1,72.27,14.8282,219.8761,17.02
Eindra — Train,20,Sep 2024,63.33,86.85,-23.5196,553.1727,37.14
Eindra — Train,21,Oct 2024,74.19,57.53,16.6684,277.8343,22.47
Eindra — Train,22,Nov 2024,63.33,62.78,0.5558,0.3089,0.88
Eindra — Train,23,Dec 2024,83.87,88.45,-4.5826,21.0005,5.46
Eindra — Train,24,Jan 2025,67.74,81.18,-13.4414,180.6723,19.84
Eindra — Train,25,Feb 2025,67.86,77.07,-9.2159,84.9332,13.58
Eindra — Train,26,Mar 2025,45.16,48.76,-3.598,12.9457,7.97
Eindra — Train,27,Apr 2025,80.0,67.88,12.1219,146.9403,15.15
Eindra — Train,28,May 2025,87.1,75.66,11.4398,130.8681,13.13
Eindra — Train,29,Jumlah,—,—,—,29910.8187,1059.68%
Eindra — Train,30,RMSE,—,—,—,sqrt(1/29 * 29910.8187) = sqrt1031.4075 = 32.12%,—
Eindra — Train,31,MAPE,—,—,—,—,1/29 * 1059.68 = 36.54%
Esha — Test,0,Jun 2025,76.67,46.64,30.0226,901.3586,39.16
Esha — Test,1,Jul 2025,100.0,43.51,56.4912,3191.2506,56.49
Esha — Test,2,Aug 2025,58.06,69.53,-11.4699,131.5578,19.75
Esha — Test,3,Sep 2025,70.0,46.07,23.9273,572.5134,34.18
Esha — Test,4,Oct 2025,77.42,53.06,24.3565,593.2408,31.46
Esha — Test,5,Nov 2025,90.0,48.19,41.814,1748.4073,46.46
Esha — Test,6,Dec 2025,70.97,67.24,3.7324,13.9307,5.26
Esha — Test,7,Jumlah,—,—,—,7152.2592,232.77%
Esha — Test,8,RMSE,—,—,—,sqrt(1/7 * 7152.2592) = sqrt1021.7513 = 31.96%,—
Esha — Test,9,MAPE,—,—,—,—,1/7 * 232.77 = 33.25%
Esha — Train,0,Jan 2023,70.97,0.0,70.9677,5036.4204,100.0
Esha — Train,1,Feb 2023,50.0,10.06,39.9426,1595.4118,79.89
Esha — Train,2,Mar 2023,77.42,18.6,58.8216,3459.9831,75.98
Esha — Train,3,Apr 2023,40.0,23.07,16.926,286.4883,42.31
Esha — Train,4,May 2023,74.19,100.0,-25.8065,665.9729,34.78
Esha — Train,5,Jun 2023,76.67,63.39,13.2766,176.2689,17.32
Esha — Train,6,Jul 2023,90.32,91.61,-1.287,1.6565,1.42
Esha — Train,7,Aug 2023,77.42,52.08,25.3354,641.8837,32.72
Esha — Train,8,Sep 2023,46.67,65.95,-19.2826,371.8171,41.32
Esha — Train,9,Oct 2023,67.74,71.08,-3.3334,11.1117,4.92
Esha — Train,10,Nov 2023,53.33,69.84,-16.5043,272.3909,30.95
Esha — Train,11,Dec 2023,54.84,68.31,-13.4711,181.4707,24.56
Esha — Train,12,Jan 2024,45.16,37.42,7.7452,59.9881,17.15
Esha — Train,13,Feb 2024,55.17,57.93,-2.7546,7.5877,4.99
Esha — Train,14,Mar 2024,48.39,41.19,7.1952,51.7707,14.87
Esha — Train,15,Apr 2024,43.33,35.45,7.8877,62.2151,18.2
Esha — Train,16,May 2024,70.97,63.26,7.7121,59.4771,10.87
Esha — Train,17,Jun 2024,66.67,63.18,3.4865,12.1555,5.23
Esha — Train,18,Jul 2024,64.52,70.91,-6.3943,40.8872,9.91
Esha — Train,19,Aug 2024,64.52,53.95,10.5672,111.6658,16.38
